sentence,fuel,machine,others,part,price,service
"Kawula ngangge Honda Jazz GK5 taun 2014 (kaping pisanan diluncuraken). Mobilipun saé lan nyaman, cocog kaliyan motone ingkang nyenengaken kanggé dikendarai.",neutral,neutral,positive,neutral,neutral,neutral
"Avanza nopo kok dados boros bensin kados mekaten? Anyar dipun isi, sampun meh setengah mawon.",negative,neutral,neutral,neutral,neutral,neutral
"Saran kawula lan pengalaman kawula, langkung sae tumbas mobil niaga L300 utawi Canter. Irit lan bandel.",positive,positive,neutral,neutral,neutral,neutral
"Saking segi reginipun, Pajero langkung awis 30 jutaan dibandingaken kaliyan Fortuner.",neutral,neutral,neutral,neutral,positive,neutral
"Miturut kawula, Pajero langkung nyaman.",neutral,neutral,positive,neutral,neutral,neutral
"CH-R versi nagari menika kirang worth it saking segi fitur lan kelengkapan.",neutral,neutral,neutral,negative,neutral,neutral
".@LinaRadj kapan-kapan cobi bengkel Daihatsu, sami purun kok. Pelayananipun langkung saé",neutral,neutral,neutral,neutral,neutral,positive
"Langkung sae Confero, reginipun langkung murah tinimbang Formo.",neutral,neutral,neutral,neutral,negative,neutral
"Menawi babagan servis, langkung sae milih Grand Livina, amargi after-sales service-nipun langkung gampil lan cepet.",neutral,neutral,neutral,neutral,neutral,positive
"Lampu utama ngajeng Grand New Veloz ugi nampi perubahan desain ingkang langkung agresif lan sithik menonjol.",neutral,neutral,neutral,positive,neutral,neutral
"Motor Beat kawula ingkang tansah ngancani tindak mriku-mriku, utaminipun BBM-nipun ramah lingkungan lan irit ing kantong, lajeng tarikane mantap sanget.",positive,positive,neutral,neutral,neutral,neutral
"Xenia taun 2008 bolak-balik Jakarta-Bandung, aki tetep aman.",neutral,neutral,neutral,positive,neutral,neutral
"#YamahaID Perawatan Motor Injeksi Yamaha Gampil lan Murah.",neutral,neutral,neutral,neutral,neutral,positive
"Kangge ing kutha, Xpander saé sanget amargi modelipun kalem lan kesanipun car city.",neutral,neutral,neutral,positive,neutral,neutral
"Brio pajegipun murah amargi CKD, tinimbang Ignis utawi Sirion ingkang CBU, pajegipun langkung awis, lajeng onderdilipun langkung angel utawi dangu menawi badhe klaim asuransi.",neutral,neutral,neutral,negative,negative,neutral
"Toyota langkung sae reginipun menawi badhe dipun sade malih.",neutral,neutral,neutral,neutral,positive,neutral
"All New Toyota Kijang Innova G Diesel 2017. Mesin bandel lan irit, Otolovers.",positive,positive,neutral,neutral,neutral,neutral
"Khususipun Daihatsu Xenia Sporty Manual, langkung-langkung ingkang paling anyar menika, kajawi irit BBM, swanten mesinipun alus, lajeng tarikane langkung sae tinimbang generasi sakderengipun. Akselerasi ugi sae, variasinipun mboten monoton utawi ramai.",positive,positive,neutral,positive,neutral,neutral
"Saiki, Great New Xenia sampun gadhah fasilitas ingkang ""wow"" kanthi rega ingkang ramah, malah langkung mirah tinimbang rivalipun.",neutral,neutral,neutral,positive,positive,neutral
"Gadhah mobil Altis mboten awet, nembe setaun sampun rusak.",neutral,neutral,negative,neutral,neutral,neutral
"Xenia kawula tipe XI sampun 1.5 taun lan cukup bangga kaliyan performanipun.",neutral,positive,neutral,neutral,neutral,neutral
"Servis rutin ing bengkel Daihatsu resmi ugi mboten njamin, rem kawula ngantos blong nalika mlampah.",neutral,neutral,neutral,neutral,neutral,negative
"Kawula ngangge Karimun, adhik kawula ngangge Brio. Sanadyan Karimun langkung murah saking Brio, nanging langkung nyaman.",neutral,neutral,positive,neutral,positive,neutral
"Awak lan tampilanipun Avanza ingkang enggal mantap sanget, juragan.",neutral,neutral,neutral,positive,neutral,neutral
"Saking rumiyin, Toyota tansah maringi produk ingkang super awis kanthi fitur ingkang pas-pasan.",neutral,neutral,neutral,negative,negative,neutral
"Sampun gaya lan stylish, ekonomis malih, tumbas Calya mawon.",neutral,neutral,neutral,positive,positive,neutral
"Avanza menika mobil kawula ingkang paling bandel.",neutral,positive,neutral,neutral,neutral,neutral
"Mobil kualitasipun awon kados Wuling kok mlebet Indonesia.",neutral,neutral,negative,neutral,neutral,neutral
"Pelayanan bengkel Daihatsu sae sanget.",neutral,neutral,neutral,neutral,neutral,positive
"Kawula gadhah Xenia XI, dasbor nabrak wit. Sakwetawis 2 dinten dipun perbaosi ing servis resmi Daihatsu, langsung dados kados enggal malih. Keren.",neutral,neutral,neutral,neutral,neutral,positive
"Fortuner peripun atos, damel kesel.",neutral,neutral,neutral,negative,neutral,neutral
"Luwih sae Mobil Esemka, Mobil Nasional Asli Buatan Dalam Negeri, reginipun terjangkau, irit BBM, mesinipun ugi kiyat.",positive,positive,positive,neutral,positive,neutral
"Nissan menika kados mekaten, senadyan reginipun awis, nanging daya tahanipun sae.",neutral,neutral,positive,neutral,negative,neutral
"Fortuner mboten cocog kangge mahasiswa saking segi desain ingkang kathah mencolok lan reginipun ugi awis.",neutral,neutral,neutral,negative,neutral,neutral
"Servis ing bengkel Toyota langkung cepet.",neutral,neutral,neutral,neutral,neutral,positive
"Honda Spacy irit sanget, sumpah.",positive,neutral,neutral,neutral,neutral,neutral
"Ora saged tilem menawi dalu-dalu wonten ing mobil amargi suwara AC-nipun rame sanget.",neutral,neutral,neutral,negative,neutral,neutral
"Bengkel Honda menika kados mekaten kok, aki motor kawula dipun gantos kaliyan ingkang awon, supados mboten saged urip, lajeng protes malih mrika.",neutral,neutral,neutral,neutral,neutral,negative
"Saking segi kenyamanan, Cortez sae, nanging bahan bakaripun boros sanget.",negative,neutral,positive,neutral,neutral,neutral
"Jujur mawon, indenipun dangu sanget saking dealer, sampun 1 wulan dereng teka ugi.",neutral,neutral,neutral,neutral,neutral,negative
"Nuwun sewu, nedha gabung nggih, nembe tumbas Xenia 04 - 2008 3 dinten ingkang kapengker, sakedhik menawi kawula ngrasakaken cukup.",neutral,neutral,positive,neutral,neutral,neutral
"Saget setuju menawi Jazz langkung keren lan mantap tinimbang Mobilio.",neutral,neutral,negative,neutral,neutral,neutral
"Masya Allah, Toyota reginipun awis, nanging fitur-fiturnipun pelit.",neutral,neutral,neutral,negative,negative,neutral
"Fortuner sparepartipun kathah dipunsade wonten pundi-pundi.",neutral,neutral,neutral,positive,neutral,neutral
"Alhamdulillah, inden saking dealer Wuling awal Agustus, mobil sampun dumugi, cepet.",neutral,neutral,neutral,neutral,neutral,positive
"Vario 125 ringan sanget lan nyaman kangge tiyang estri kados kawula, langkung-langkung digawa mriku-mriku irit sanget lan reginipun terjangkau tinimbang motor Honda sanesipun.",positive,neutral,positive,neutral,positive,neutral
"Sampun tumbas ingkang Rush 2018, alhamdulillah boten wonten penyesalan dumugi sak menika lan insya Allah seterusipun.",neutral,neutral,positive,neutral,neutral,neutral
"Handling Mini Cooper juara.",neutral,neutral,neutral,positive,neutral,neutral
"Kawula puas sanget kaliyan mobil kawula, kajawi ageng, katingal mewah lan irit bahan bakar amargi ngombe solar, dados mantap Kijang Innova.",positive,neutral,positive,positive,neutral,neutral
"Xenia boten awet sanget, mentas 6 wulan sampun gadhah masalah.",neutral,neutral,negative,neutral,neutral,neutral
"Dangu sanget ngentosi inden Xpander, keburu kawula sade menika mobil.",neutral,neutral,neutral,neutral,neutral,negative
"Kawula numpak Mazda CX3 saben dinten. Performa mantap, mobil nyaman, mboten kados Honda HRV ingkang katingal goyang-goyang.",neutral,neutral,negative,neutral,neutral,neutral
"Avanza guncangan mesinipun alus, senajan wonten dalan ingkang boten mulus, AC ugi tetep stabil, mesinipun mboten enggal panas sanajan macet langkung meniko.",neutral,positive,neutral,positive,neutral,neutral
"Wuling Formo, mobil Cina, mesinipun mboten tahan dangu amargi ing Cina ugi mboten awet.",neutral,negative,neutral,neutral,neutral,neutral
"Mobil Honda pancen keren, kawula gadhah Honda CRV taun 2006 dumugi sapunika taksih mulus.",neutral,neutral,positive,neutral,neutral,neutral
"Honda tansah nanggung lan maksa saben nglakukan upgrade mobil ingkang sampun wonten, dados mboseni.",neutral,neutral,negative,neutral,neutral,neutral
"Bengkel Ahas Togosari pelayanane mboten memuaskan, mekanikipun mboten fokus lan awon. Mboten kados biyen. Pripun punika, Bos?",neutral,neutral,neutral,neutral,neutral,negative
"Kanggo ingkang remen nyopir, Mitsubishi menika cocog sanget. Mobil punika nyaman kangge dikendarai, saé kangge kutha utawi lebet kutha.",neutral,neutral,positive,neutral,neutral,neutral
"N-Max biaya perawatane awis, langkung boros tinimbang numpak angkutan umum.",neutral,neutral,neutral,neutral,neutral,negative
"Fortuner langkung mewah lan langkung ageng.",neutral,neutral,positive,neutral,neutral,neutral
"Xenia menika kita sanget! Cocog digawa mriku-mriku, servis gampang, reginipun terjangkau, lan gampang dipun-ginakaken.",neutral,neutral,positive,neutral,positive,positive
"Kula milih Pajero amargi asring mantuk kampung nalika Lebaran lan dalanipun kathah ingkang awon lan tanjakanipun curam, dereng diaspal.",neutral,positive,neutral,neutral,neutral,neutral
"Konsumsi BBM saged dipaksa 1:12 menawi nyopiripun sabar, lumayan irit kanggo Altis G 2003 MT menika.",positive,neutral,neutral,neutral,neutral,neutral
"Regi purna-jual pancen Toyota langkung sae. Nanging, tiyang kados kula mikiripun tumbas mobil punika kangge dipun-ginakaken, dudu kangge dipun-jual. Hehe.",neutral,neutral,neutral,neutral,positive,neutral
"Pelayanan bengkel Yamaha ing Poso awon sanget, bung. Kala wingi ngendikanipun suruh dugi dinten menika, nanging dinten menika dugi malah ngendika boten saget.",neutral,neutral,neutral,neutral,neutral,negative
"Kawula tumbas Honda Beat menika taun 2015, sampun tiga taun yuswanipun motor menika. Kawula damel karya kaliyan jarak tempuh ingkang adoh saking griya, nanging terbukti dumugi sak menika irit BBM lan wonten dobel rem ingkang damel motor punika luar biasa.",positive,neutral,neutral,positive,neutral,neutral
"Headlamp Avanza ugi ngginakaken model paling enggal. Kaliyan perubahan menika, mobil menika gadhah desain ingkang langkung elegan, Juragan.",neutral,neutral,neutral,positive,neutral,neutral
"Kawula nyesel tumbas Mobilio, tangga tumbas Wuling Cortez puas sanget.",neutral,neutral,positive,neutral,neutral,neutral
"Brio menika salah satunggaling mobil ekonomis kangge kaluarga menengah.",neutral,neutral,neutral,neutral,positive,neutral
"Kaki-kakinipun ugi aman normal jaya. Durung nate ganti sparepart punapa-punapa kejawi oli, radiator, lan filter. Mantap Brio!",neutral,neutral,neutral,positive,neutral,neutral
